timestamp,account,platform,keyword,stage,error_type,error_message
2026-02-10T14:28:14.965982,acc_01,python_web,,search,ConnectionError,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
2026-02-10T14:32:11.838261,acc_01,python_web,,search,ConnectionError,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
2026-02-10T14:37:04.622592,acc_01,python_web,,search,ConnectionError,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
2026-02-10T14:43:28.535738,acc_01,python_web,,search,TimeoutError,"Locator.scroll_into_view_if_needed: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[aria-labelledby=\""jobs-sort-dropdown\""]"")
"
2026-02-10T14:54:13.389031,acc_01,python_web,,search,TimeoutError,"Locator.scroll_into_view_if_needed: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[aria-labelledby=\""jobs-sort-dropdown\""]"")
"
2026-02-10T14:54:57.210943,acc_01,python_web,,search,ConnectionError,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
2026-02-10T14:58:59.696752,acc_01,python_web,,search,TimeoutError,"Locator.scroll_into_view_if_needed: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[aria-labelledby=\""jobs-sort-dropdown\""]"")
    - waiting for"" https://www.upwork.com/nx/search/jobs/?q=Data%20Scraping"" navigation to finish...
    - navigated to ""https://www.upwork.com/nx/search/jobs/?q=Data%20Scraping""
"
2026-02-10T15:06:48.565973,acc_01,python_web,,search,TimeoutError,"Locator.scroll_into_view_if_needed: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[aria-labelledby=\""jobs-sort-dropdown\""]"")
"
2026-02-10T16:17:57.848320,acc_01,python_web,,search,TimeoutError,"Locator.scroll_into_view_if_needed: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[aria-labelledby=\""jobs-sort-dropdown\""]"")
"
2026-02-10T16:31:09.241686,acc_01,python_web,,search,TimeoutError,"Locator.scroll_into_view_if_needed: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[aria-labelledby=\""jobs-sort-dropdown\""]"")
"
2026-02-10T16:43:28.996890,acc_01,python_web,,search,TimeoutError,"Locator.scroll_into_view_if_needed: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[aria-labelledby=\""jobs-sort-dropdown\""]"")
"
2026-02-10T16:55:24.138601,acc_01,python_web,,search,TimeoutError,"Locator.scroll_into_view_if_needed: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[aria-labelledby=\""jobs-sort-dropdown\""]"")
"
2026-02-10T17:19:40.446111,acc_01,python_web,,search,TimeoutError,"Locator.scroll_into_view_if_needed: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[aria-labelledby=\""jobs-sort-dropdown\""]"")
"
2026-02-10T17:32:26.670773,acc_01,python_web,,search,TimeoutError,"Locator.scroll_into_view_if_needed: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[aria-labelledby=\""jobs-sort-dropdown\""]"")
"
